,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude,date_norm
226,ankazoabo,72.45,69,10,3.27,1646700855,MG,44.5167,-22.2833,3/8/2022
227,ambunti,83.12,77,100,1.92,1646700855,PG,142.8448,-4.2365,3/8/2022
228,varzelandia,68.29,73,24,4.92,1646700856,BR,-44.0275,-15.7014,3/8/2022
229,komsomolskiy,45.32,81,75,9.22,1646700856,UZ,71.7189,40.4272,3/8/2022
230,hervey bay,91.04,78,0,8.72,1646700856,AU,152.8535,-25.2986,3/8/2022
231,ribeira grande,58.68,63,85,20.6,1646700857,PT,-28.7,38.5167,3/8/2022
232,korla,43.16,30,39,4.85,1646700857,CN,86.1469,41.7597,3/8/2022
233,ajaccio,30.88,80,0,8.05,1646700857,FR,8.9167,42,3/8/2022
234,namibe,72,69,100,7,1646700857,AO,12.1522,-15.1961,3/8/2022
235,neyshabur,44.37,80,100,4.79,1646700858,IR,58.7958,36.2133,3/8/2022
236,usinsk,-26.93,98,100,7.65,1646700858,RU,57.5281,65.9939,3/8/2022
237,lobito,76.93,83,100,3.83,1646700858,AO,13.5456,-12.3481,3/8/2022
238,marawi,70.65,85,100,3.94,1646700859,PH,124.2928,7.9986,3/8/2022
239,kautokeino,-3.33,100,98,2.68,1646700859,NO,23.0412,69.0125,3/8/2022
240,deputatskiy,-21.8,99,83,2.1,1646700859,RU,139.9,69.3,3/8/2022
241,faranah,76.96,20,99,5.12,1646700859,GN,-10.7434,10.0404,3/8/2022
242,swan hill,74.48,46,11,20.22,1646700860,AU,143.5544,-35.3378,3/8/2022
243,kandalaksha,4.93,97,100,4.68,1646700860,RU,32.4123,67.162,3/8/2022
244,odienne,78.1,18,75,3.6,1646700860,CI,-7.5692,9.51,3/8/2022
245,tilichiki,12.51,84,100,10.33,1646700861,RU,166.1,60.4667,3/8/2022
246,ormara,72.63,69,4,4.97,1646700861,PK,64.6357,25.2088,3/8/2022
247,clyde river,-18.17,83,0,3.44,1646700861,CA,-68.5914,70.4692,3/8/2022
248,tacna,66.54,79,100,3.22,1646700861,PE,-70.2483,-18.0056,3/8/2022
249,kavieng,84.09,69,100,9.42,1646700862,PG,150.7967,-2.5744,3/8/2022
250,khani,36.97,65,100,5.73,1646700862,GE,42.9566,41.9563,3/8/2022
251,fortuna,57.6,60,0,14.97,1646700862,US,-124.1573,40.5982,3/8/2022
252,kavaratti,80.76,71,8,1.88,1646700862,IN,72.642,10.5669,3/8/2022
253,cairns,91.35,58,40,1.14,1646700780,AU,145.7667,-16.9167,3/8/2022
254,muisne,77.16,89,70,5.1,1646700863,EC,-80.0333,0.6,3/8/2022
255,sheboygan,29.52,72,100,10.36,1646700611,US,-87.9334,43.7333,3/8/2022
256,muros,50.65,89,49,17.72,1646700863,ES,-9.0603,42.7762,3/8/2022
257,cariati,42.62,72,15,10.94,1646700863,IT,16.9594,39.4922,3/8/2022
258,caravelas,75.56,84,6,5.01,1646700864,BR,-39.2481,-17.7125,3/8/2022
259,ayan,10.33,86,99,4.94,1646700864,RU,138.1667,56.45,3/8/2022
260,sinnamary,76.55,89,100,11.88,1646700864,GF,-52.95,5.3833,3/8/2022
261,vila velha,76.95,88,20,2.3,1646700864,BR,-40.2925,-20.3297,3/8/2022
262,maracas,65.3,87,98,7.72,1646700865,BR,-40.4308,-13.4411,3/8/2022
263,pemangkat,78.89,80,12,3.42,1646700865,ID,108.9667,1.1667,3/8/2022
264,malyn,28.4,97,84,7.56,1646700865,UA,29.2383,50.7723,3/8/2022
265,upernavik,-2.11,96,100,3.51,1646700866,GL,-56.1549,72.7868,3/8/2022
266,barreiras,70.21,92,71,1.74,1646700723,BR,-44.99,-12.1528,3/8/2022
267,iqaluit,-2.47,78,100,2.3,1646700866,CA,-68.5145,63.7506,3/8/2022
268,stokmarknes,33.49,85,100,5.57,1646700866,NO,14.9108,68.5646,3/8/2022
269,okhotsk,3.65,85,10,10.71,1646700867,RU,143.3,59.3833,3/8/2022
270,mpanda,63.45,97,44,1.5,1646700867,TZ,31.0409,-6.3655,3/8/2022
271,najran,63.25,39,53,5.77,1646700867,SA,44.1277,17.4924,3/8/2022
272,plouzane,37.36,75,0,13.8,1646700867,FR,-4.6167,48.3833,3/8/2022
273,sommerda,28.71,69,59,0.65,1646700868,DE,11.1,51.15,3/8/2022
274,carstairs,25.97,64,7,21,1646700868,CA,-114.102,51.5668,3/8/2022
275,maniitsoq,11.98,93,100,7.56,1646700868,GL,-52.9,65.4167,3/8/2022
276,imbituba,81.82,92,63,6.8,1646700671,BR,-48.6703,-28.24,3/8/2022
277,labuhan,84.09,80,100,4.16,1646700869,ID,112.2051,-6.8844,3/8/2022
278,issoire,29.46,72,0,5.57,1646700869,FR,3.25,45.55,3/8/2022
